outcome	auroc	auprc	n_pos_windows	n_neg_windows
RELEASE_EVENT	0.7333883505664289	0.40554068649462605	14894	47977
DEATH_EVENT	0.727289623572007	0.09791192546252919	1794	61077
DISGLYCEMIA_EVENT_Hyperglycemia	0.6283627287795079	0.4613875460634224	15523	47348
DISGLYCEMIA_EVENT_Hypoglycemia	0.6139325930389277	0.17822796188135143	2776	60095
KIDNEY_COMPLICATION_EVENT	0.5306908087435612	0.36741297950967206	12093	50778
HYPEROSMOLALITY_EVENT	0.49433019411877765	0.006918929236054779	435	62436
ACIDOSIS_EVENT	0.494026971828703	0.018720872898474655	1177	61694
NEUROVASCULAR_COMPLICATION_EVENT	0.4939873367250921	0.002703949356619109	170	62701
INFECTION_EVENT	0.49393109483373304	0.018498194716164845	1163	61708
RETINOPATHY_EVENT	0.4938645405595411	0.004517185983998982	284	62587
ACUTE_RESPIRATORY_DISORDER_EVENT	0.4938141637696062	0.025480746290022428	1602	61269
KETOACIDOSIS_EVENT	0.49380096057187534	0.003181116890140128	200	62671
CARDIO-VASCULAR_DISORDER_EVENT	0.1982761389837392	0.13845012932007297	6342	56529
