outcome	auroc	auprc	n_pos_windows	n_neg_windows
CARDIO-VASCULAR_DISORDER_EVENT	0.9691693352308833	0.7079825843126512	447	10389
DEATH_EVENT	0.9469179552283791	0.4006426682117086	206	10630
DISGLYCEMIA_EVENT_Hyperglycemia	0.9362184951375572	0.8923714437721102	3415	7421
KIDNEY_COMPLICATION_EVENT	0.9114545230416181	0.7623760296407422	1977	8859
DISGLYCEMIA_EVENT_Hypoglycemia	0.9090672631115823	0.5713927599143079	608	10228
RELEASE_EVENT	0.8362903808348645	0.44450732307496865	1522	9314
ACIDOSIS_EVENT			0	10836
ACUTE_RESPIRATORY_DISORDER_EVENT			0	10836
HYPEROSMOLALITY_EVENT			0	10836
INFECTION_EVENT			0	10836
KETOACIDOSIS_EVENT			0	10836
NEUROVASCULAR_COMPLICATION_EVENT			0	10836
RETINOPATHY_EVENT			0	10836
