outcome	auroc	auprc	n_pos_windows	n_neg_windows
CARDIO-VASCULAR_DISORDER_EVENT	0.981569165324905	0.8354483664172562	123	2045
DEATH_EVENT	0.9668557526706892	0.5598718351251332	39	2129
DISGLYCEMIA_EVENT_Hypoglycemia	0.9401725475446062	0.657933427113999	103	2065
DISGLYCEMIA_EVENT_Hyperglycemia	0.9305090661040339	0.8860244111328638	676	1492
KIDNEY_COMPLICATION_EVENT	0.9287241078676007	0.7733602601138778	370	1798
RELEASE_EVENT	0.8336245997005696	0.43561493415478536	289	1879
ACIDOSIS_EVENT			0	2168
ACUTE_RESPIRATORY_DISORDER_EVENT			0	2168
HYPEROSMOLALITY_EVENT			0	2168
INFECTION_EVENT			0	2168
KETOACIDOSIS_EVENT			0	2168
NEUROVASCULAR_COMPLICATION_EVENT			0	2168
RETINOPATHY_EVENT			0	2168
